elapsed_seconds,optimization_approximate_kl,optimization_clip_fraction,optimization_count_loss,optimization_early_kl_stop,optimization_entropy_coefficient,optimization_epochs_completed,optimization_learning_rate_fraction,optimization_loss,optimization_normalized_entropy,optimization_policy_loss,optimization_q_loss,optimization_value_loss,rollout_best_objective,rollout_feasible_rate,rollout_mean_objective,rollout_reward_scale,rollout_std_objective,rollout_transitions,rollout_vectorized_rollouts,self_imitation_loss,update,validation_archive_best_objective,validation_best_of_k_objective,validation_deterministic_objective,validation_fixed_validation_seed,validation_mean_stochastic_objective,validation_selection_metric,validation_selection_objective,validation_std_stochastic_objective
8.26256922399989,0.0154091447009705,0.18805338591337203,0.0,0.0,0.0199525,4.0,0.9975,-0.01165476485621184,0.7401367202401161,-0.001352487481199205,0.020510500758427953,0.0048285008000675585,135851.87,1.0,100950.15485937499,4.248655765147055e-07,15156.460608912237,4800.0,1.0,,1,135851.87,147807.903,0.0,70000042,113473.84169999999,best_of_k,147807.903,15091.922821077356
8.213230715999089,0.01097559072659351,0.1443847667425871,0.0,0.0,0.019905,4.0,0.995,-0.020257931132800878,0.7813639029860496,-0.004802254622336477,0.00036977709842176407,0.00012078987242603034,156064.419,1.0,114074.08374999999,4.248655765147055e-07,16675.34273943699,4800.0,1.0,,2,,,,,,,,
8.202341366000837,0.010561072692507879,0.14692382840439677,0.0,0.0,0.0198575,4.0,0.9925,-0.026330358372069894,0.7925903454422951,-0.010608415119349957,6.0569690685952085e-05,2.172470121877268e-05,163549.435,1.0,128840.72253125,4.248655765147055e-07,17177.609473481967,4800.0,1.0,,3,,,,,,,,
8.275761812999917,0.009372773903305643,0.12569986982271075,0.0,0.0,0.01981,4.0,0.99,-0.022813233477063478,0.7860619574785233,-0.0072585021844133735,5.3475163258553946e-05,2.3617704209755173e-05,197971.25100000002,1.0,147787.91228125,4.248655765147055e-07,17622.610566101535,4800.0,1.0,,4,,,,,,,,
8.05416170100034,0.008833828361821361,0.11005859387805686,0.0,0.0,0.0197625,4.0,0.9875,-0.023854647274129094,0.7899004071950912,-0.008261669089552014,4.5779015727021034e-05,2.5703156416057028e-05,194267.17699999997,1.0,164140.6966875,4.248655765147055e-07,17196.588594053632,4800.0,1.0,,5,,,,,,,,
8.018349621999732,0.008186646335525438,0.12073567733168603,0.0,0.0,0.019715,4.0,0.985,-0.021044106432236732,0.7732890903949737,-0.005811968399211764,4.316925260354765e-05,1.7878779135571677e-05,211270.564,1.0,179809.17750000002,4.248655765147055e-07,14730.773548024488,4800.0,1.0,,6,,,,,,,,
8.035648827999466,0.006556411331985146,0.08414713554084301,0.0,0.0,0.0196675,4.0,0.9825,-0.022690927027724683,0.7530902817845344,-0.007891737902536989,3.1261253707270956e-05,1.8177274341724114e-05,219491.26900000003,1.0,186306.42690625,4.248655765147055e-07,16133.125682990825,4800.0,1.0,,7,,,,,,,,
7.9398865080002,0.006601151308859699,0.0847493490204215,0.0,0.0,0.019620000000000002,4.0,0.98,-0.01668173432117328,0.734580610692501,-0.0022799829952418805,3.073405086979619e-05,1.5291530030481226e-05,227971.668,1.0,202260.997671875,4.248655765147055e-07,13013.35490778631,4800.0,1.0,,8,,,,,,,,
7.982138195000516,0.005656078882748261,0.07483723978511989,0.0,0.0,0.0195725,4.0,0.9775,-0.017249947879463434,0.7147774800658226,-0.0032678318733815105,2.2140134842629777e-05,1.1304301256132022e-05,230939.407,1.0,208473.313421875,4.248655765147055e-07,12305.112522852198,4800.0,1.0,,9,,,,,,,,
7.902548404999834,0.005521890037925914,0.08064778679981828,0.0,0.0,0.019525,4.0,0.975,-0.014217349304817616,0.702703307569027,-0.0005040653049945831,2.280428998346906e-05,9.436710638510703e-06,239984.816,1.0,219562.28239062498,4.248655765147055e-07,9187.04495761561,4800.0,1.0,,10,,,,,,,,
