Instance,Method,BFS,Mean Objective,Std Objective,Best Gap to Reference (%),Mean Gap to Reference (%),CPU Mean (s),CPU Total (s),Runs/Seeds,Mean Search Rollouts,Total Search Rollouts,Feasible Rate,Idle Days (Best),Unique Locations (Best),Reference Type,Gurobi MIP Gap (%),Status
D_15S_30P_CODE,random_feasible_5_runs,8761.473250000001,8252.22825,407.51245362507063,,,0.012190820000068926,0.060954100000344624,5,1.0,5,1.0,8,12,not available,,FEASIBLE
D_15S_30P_CODE,random_best_of_5,8761.473250000001,8761.473250000001,0.0,,,0.060954100000344624,0.060954100000344624,1,5.0,5,1.0,8,12,not available,,FEASIBLE
D_15S_30P_CODE,greedy_exact_increment,13992.895,13992.895,0.0,,,0.013235899999926914,0.013235899999926914,1,1.0,1,1.0,8,4,not available,,FEASIBLE
D_15S_30P_CODE,dqn_greedy,12482.85275,12482.85275,0.0,,,0.06122869999990144,0.06122869999990144,1,1.0,1,1.0,8,6,not available,,FEASIBLE
D_15S_30P_CODE,dqn_backtracking_5,12851.69375,12851.69375,0.0,,,0.12004449999994904,0.12004449999994904,1,5.0,5,1.0,8,6,not available,,FEASIBLE
