elapsed_seconds,optimization_approximate_kl,optimization_clip_fraction,optimization_count_loss,optimization_early_kl_stop,optimization_entropy_coefficient,optimization_epochs_completed,optimization_learning_rate_fraction,optimization_loss,optimization_normalized_entropy,optimization_policy_loss,optimization_q_loss,optimization_value_loss,rollout_best_objective,rollout_feasible_rate,rollout_mean_objective,rollout_reward_scale,rollout_std_objective,rollout_transitions,rollout_vectorized_rollouts,self_imitation_loss,update,validation_archive_best_objective,validation_best_of_k_objective,validation_deterministic_objective,validation_fixed_validation_seed,validation_mean_stochastic_objective,validation_selection_metric,validation_selection_objective,validation_std_stochastic_objective
13.038348152998879,0.008462816954609783,0.076904296875,0.0,0.0,0.0199525,4.0,0.9975,-0.012336918754347911,0.7862204561630884,-0.0004201266565360129,0.015169554790721426,0.0045066325352915255,360006.772,1.0,285703.25017578126,1.12176296559331e-07,29452.962006700687,5760.0,1.0,,1,360006.772,399668.2575,0.0,70000042,319861.630775,best_of_k,399668.2575,40589.63874216823
13.176027701001658,0.007489652290435818,0.057820638020833336,0.0,0.0,0.019905,4.0,0.995,-0.01666650816332549,0.7879988414545854,-0.0010165517839292686,7.561474728845496e-05,5.519929389189807e-05,396750.15725,1.0,317898.43718749995,1.12176296559331e-07,40221.060187319956,5760.0,1.0,,2,,,,,,,,
13.112921884998286,0.007623664758284576,0.1136474609375,0.0,0.0,0.0198575,4.0,0.9925,-0.022065168634677928,0.7837923889358839,-0.0065071800878892345,2.836279899535536e-05,6.665786221068022e-06,408076.7815,1.0,328040.8866484375,1.12176296559331e-07,31455.444669355606,5760.0,1.0,,3,,,,,,,,
13.010801288999573,0.006520395353921534,0.07999674479166667,0.0,0.0,0.01981,4.0,0.99,-0.020273827423807234,0.7654456545909246,-0.005116078158607706,2.2572284080979443e-05,6.944845495127083e-06,457015.37475,1.0,370183.9215429687,1.12176296559331e-07,38398.62172082453,5760.0,1.0,,4,,,,,,,,
12.995917288999408,0.0054976455818784116,0.074462890625,0.0,0.0,0.0197625,4.0,0.9875,-0.024721203759933513,0.7540199781457583,-0.009825688098014021,2.0541381691903855e-05,7.499250206895643e-06,486446.403,1.0,408428.18880468747,1.12176296559331e-07,38159.08710895897,5760.0,1.0,,5,,,,,,,,
13.098755892000554,0.006578236798911045,0.09065755208333333,0.0,0.0,0.019715,4.0,0.985,-0.01975520737081145,0.7387629821896553,-0.005194010174212356,1.432063064991477e-05,4.165846585616843e-06,502863.5740000001,1.0,436638.2171601563,1.12176296559331e-07,27761.138230532026,5760.0,1.0,,6,,,,,,,,
13.089533384998504,0.006619488609430846,0.08687337239583333,0.0,0.0,0.0196675,4.0,0.9825,-0.026002307849315304,0.7078463273743788,-0.012085004961894205,1.9248921679112147e-05,4.680337151323026e-06,527633.4675,1.0,466887.19359375,1.12176296559331e-07,27672.558054742116,5760.0,1.0,,7,,,,,,,,
13.086396349999632,0.007190077395838064,0.098876953125,0.0,0.0,0.019620000000000002,4.0,0.98,-0.020307083691780765,0.6853421268363794,-0.006864419439807534,1.5930315877691708e-05,4.31055473863277e-06,553006.2180000001,1.0,489042.35497265623,1.12176296559331e-07,29290.29223819495,5760.0,1.0,,8,,,,,,,,
13.153449011999328,0.0075820116107934155,0.09871419270833333,0.0,0.0,0.0195725,4.0,0.9775,-0.024211598521408934,0.6658429962893327,-0.011182693580243116,1.4306472754318142e-05,3.7539420153128353e-06,552247.87875,1.0,508551.7338398437,1.12176296559331e-07,23454.045677158465,5760.0,1.0,,9,,,,,,,,
13.088127856999563,0.007375374349066988,0.09110514322916667,0.0,0.0,0.019525,4.0,0.975,-0.013237351415834079,0.656144325931867,-0.00044378098876525957,0.00014763864233676335,5.7689103414304554e-06,577020.30375,1.0,536532.1249687499,1.12176296559331e-07,21623.751944662334,5760.0,1.0,,10,,,,,,,,
13.218057490999854,0.008318424176347131,0.11393229166666667,0.0,0.0,0.019477500000000002,4.0,0.9725,-0.016816227716238547,0.6330233253538609,-0.0045770944270771,0.0008382687933021771,1.3503555597556746e-05,591685.99325,1.0,549070.6883945313,1.12176296559331e-07,18254.50588102957,5760.0,1.0,,11,,,,,,,,
13.1280760189984,0.006861383143890028,0.08439127604166667,0.0,0.0,0.01943,4.0,0.97,-0.01747567706236926,0.6359587001303831,-0.005125220719492063,4.609277740996731e-05,3.224493899741295e-06,601117.4627500001,1.0,552946.7848554688,1.12176296559331e-07,18756.099884502055,5760.0,1.0,,12,,,,,,,,
13.098595801000556,0.008846906401837865,0.1129150390625,0.0,0.0,0.0193825,4.0,0.9675,-0.01573759171878919,0.6097423980633417,-0.003921094340815519,8.305043015373789e-06,2.007134630351478e-06,603004.7535,1.0,571445.98628125,1.12176296559331e-07,16201.627354816952,5760.0,1.0,,13,,,,,,,,
13.10655617500015,0.00711333153352219,0.09041341145833333,0.0,0.0,0.019335,4.0,0.965,-0.016582624026341364,0.6067297694583734,-0.004853328146661322,6.420188924494141e-06,2.364702443931795e-06,623877.4720000001,1.0,584985.0785039063,1.12176296559331e-07,16147.751038914828,5760.0,1.0,,14,,,,,,,,
13.106631212000138,0.007670915683168762,0.08968098958333333,0.0,0.0,0.0192875,4.0,0.9625,-0.0110810997915299,0.5673246992131075,-0.00014066354682048163,6.650552573243355e-06,2.3485194683795876e-06,624311.653,1.0,593888.1826679688,1.12176296559331e-07,15350.792224953288,5760.0,1.0,,15,,,,,,,,
13.053079347000676,0.008018109797073217,0.10489908854166667,0.0,0.0,0.01924,4.0,0.96,-0.011408519096827755,0.5590963214635849,-0.0006540551451810946,1.1445586020878787e-05,2.8070135845344644e-06,633836.604,1.0,605770.4037109376,1.12176296559331e-07,12339.384039237308,5760.0,1.0,,16,,,,,,,,
13.118051123999976,0.009992697855826313,0.128173828125,0.0,0.0,0.0191925,4.0,0.9575,-0.00729439890710637,0.5634508120516936,0.0035062966926489025,0.00011794389043492022,3.0783706866562475e-06,630836.7267499999,1.0,609915.7926523437,1.12176296559331e-07,13327.134337557325,5760.0,1.0,,17,,,,,,,,
13.138732548000917,0.00761319174732004,0.09830729166666667,0.0,0.0,0.019145,4.0,0.955,-0.015024574686928341,0.5531210402647654,-0.004485212538080911,0.0004609891651530991,8.082470988786858e-06,646955.44475,1.0,613125.2325351562,1.12176296559331e-07,12520.387960850629,5760.0,1.0,,18,,,,,,,,
13.2568918270008,0.006697811882380241,0.07963053385416667,0.0,0.0,0.0190975,4.0,0.9525,-0.007025971057980011,0.5386643583575884,0.003206194106799861,0.000502890213037214,9.375034977665564e-06,637567.0769999999,1.0,621100.94965625,1.12176296559331e-07,10231.738652071263,5760.0,1.0,,19,,,,,,,,
13.172998404999817,0.008994344932337603,0.09932454427083333,0.0,0.0,0.01905,4.0,0.95,-0.018232043861644343,0.516739229982098,-0.008561143738916144,0.001488370670661728,4.828973355586186e-05,649080.837,1.0,626763.7141132812,1.12176296559331e-07,11561.914899143847,5760.0,1.0,,20,649080.837,652413.12125,655273.278,70000042,632797.4714916666,best_of_k,652413.12125,9600.72058122031
13.195986305998304,0.012903154560869249,0.14860026041666666,0.0,1.0,0.019002500000000002,4.0,0.9475,-0.008071450749412179,0.4956381755570571,0.0012074022379238158,0.0010339845566515276,7.222703990332018e-05,646532.79525,1.0,632690.2198203125,1.12176296559331e-07,7395.5430738938585,5760.0,1.0,,21,,,,,,,,
13.145983608001188,0.0074019239012462395,0.09342447916666667,0.0,0.0,0.018955,4.0,0.945,-0.010898298351094127,0.48609256868561107,-0.0016873643811171253,1.5277883221642696e-05,2.8455830095216092e-06,657359.4479999999,1.0,642701.9355546874,1.12176296559331e-07,6861.16099588849,5760.0,1.0,,22,,,,,,,,
10.988132358999792,0.015776279557030648,0.18115234375,0.0,1.0,0.0189075,2.0,0.9425,-0.0057385317437971635,0.46415062497059506,0.003036560374312103,3.186822709722037e-06,1.034731518245735e-06,656551.753,1.0,642640.5519843751,1.12176296559331e-07,7321.237566611064,5760.0,1.0,,23,,,,,,,,
13.304057577001004,0.006792984844651073,0.0784912109375,0.0,0.0,0.018860000000000002,4.0,0.94,-0.0075791809358634055,0.46097235567867756,0.0011137957335449755,3.976079900288217e-06,1.1286365335649862e-06,658066.7770000001,1.0,646024.2133085937,1.12176296559331e-07,6778.7286368670875,5760.0,1.0,,24,,,,,,,,
13.048225996000838,0.005296461963249992,0.06648763020833333,0.0,0.0,0.0188125,4.0,0.9375,-0.007314806406308587,0.43637669396897155,0.0008918699071121713,2.110416591468341e-05,1.0994079702915844e-06,661322.2899999999,1.0,649246.4175898437,1.12176296559331e-07,5081.496956659511,5760.0,1.0,,25,,,,,,,,
13.161455043000387,0.00848615686360669,0.106201171875,0.0,0.0,0.018765,4.0,0.935,-0.013892379637885218,0.4330499426772197,-0.005767143719519178,4.7419425754924305e-06,9.444512312957917e-07,661827.884,1.0,652365.36059375,1.12176296559331e-07,5597.092131883884,5760.0,1.0,,26,,,,,,,,
13.219022072998996,0.006420480378437787,0.07584635416666667,0.0,0.0,0.0187175,4.0,0.9325,-0.007697434019064531,0.4271951137731473,0.0002955532690975815,1.6492507981524795e-05,2.7751915835002214e-06,662827.8927499999,1.0,651708.77215625,1.12176296559331e-07,5531.745812387133,5760.0,1.0,,27,,,,,,,,
13.067828737999662,0.007484413229879768,0.09183756510416667,0.0,0.0,0.01867,4.0,0.9299999999999999,-0.004950117290718481,0.4207808294643958,0.0029045921789171794,6.614091458819378e-06,1.2144835347764153e-06,664374.7455000001,1.0,653515.7970546875,1.12176296559331e-07,5813.06122227792,5760.0,1.0,,28,,,,,,,,
