elapsed_seconds,optimization_approximate_kl,optimization_clip_fraction,optimization_count_loss,optimization_early_kl_stop,optimization_entropy_coefficient,optimization_epochs_completed,optimization_learning_rate_fraction,optimization_loss,optimization_normalized_entropy,optimization_policy_loss,optimization_q_loss,optimization_value_loss,rollout_best_objective,rollout_feasible_rate,rollout_mean_objective,rollout_reward_scale,rollout_std_objective,rollout_transitions,rollout_vectorized_rollouts,self_imitation_loss,update,validation_archive_best_objective,validation_best_of_k_objective,validation_deterministic_objective,validation_fixed_validation_seed,validation_mean_stochastic_objective,validation_selection_metric,validation_selection_objective,validation_std_stochastic_objective
3.3007889329996942,0.012227777726366185,0.1590657557050387,0.0,0.0,0.019940625,4.0,0.996875,-0.022362955225010712,0.7516508847475052,-0.011916135437786579,0.033130653624539264,0.002457008435158059,26949.024,1.0,17842.875625,7.82821759313622e-06,4062.4100528009058,2880.0,1.0,,1,26949.024,27077.372000000003,0.0,70000042,19870.790250000002,best_of_k,27077.372000000003,3317.408882548237
2.8573075429999335,0.01623567711794749,0.30221354340513545,0.0,1.0,0.01988125,2.0,0.99375,-0.02465716633014381,0.7696618835131327,-0.009800366630467275,0.003057453994794438,0.0002785906217468437,28216.079999999998,1.0,21355.2568125,7.82821759313622e-06,3419.1905473255056,2880.0,1.0,,2,,,,,,,,
3.1651112879999346,0.008898803828439364,0.16414388075160483,0.0,0.0,0.019821875,4.0,0.990625,-0.025394205663663644,0.8002394537130991,-0.009814104530960321,0.0013046802814642433,0.00030335310475493316,33279.26,1.0,24898.634375,7.82821759313622e-06,3550.2683504044253,2880.0,1.0,,3,,,,,,,,
3.2323980969999866,0.011193074339341061,0.2066731775800387,0.0,0.0,0.0197625,4.0,0.9875,-0.030947177632090945,0.7887960970401764,-0.015500180326246967,0.0004484775211797872,0.0001934741849254351,33005.556,1.0,26762.460062500002,7.82821759313622e-06,2837.9333456988993,2880.0,1.0,,4,,,,,,,,
3.1846139350000158,0.00816466509422753,0.1393391933913032,0.0,0.0,0.019703125000000002,4.0,0.984375,-0.02824458460478733,0.7719257399439812,-0.013193091416421035,0.0003619097818348867,0.0002433309236948844,34935.836,1.0,29685.559125,7.82821759313622e-06,2794.680358221264,2880.0,1.0,,5,,,,,,,,
3.18091018899986,0.010061171851702966,0.1727701829125484,0.0,0.0,0.01964375,4.0,0.98125,-0.028367139612479757,0.7456772973140081,-0.013868819864001125,0.00032687252072112943,0.00023378162586595863,38005.623999999996,1.0,31711.421125,7.82821759313622e-06,2970.2995093727886,2880.0,1.0,,6,,,,,,,,
3.2133592380000664,0.007766956293683809,0.13520507918049893,0.0,0.0,0.019584375,4.0,0.978125,-0.023064471043956775,0.7118145550290743,-0.009219506871886551,0.00022174066543811932,0.00014660972980588363,39179.388,1.0,33470.546,7.82821759313622e-06,2634.6794353080218,2880.0,1.0,,7,,,,,,,,
3.14168159799965,0.007471842642795916,0.12789713560293117,0.0,0.0,0.019525,4.0,0.975,-0.024122750289582957,0.6683601414163908,-0.011147305796233317,0.00017372357312221234,0.00011382975056524931,40129.979999999996,1.0,36030.3905625,7.82821759313622e-06,2227.018212290636,2880.0,1.0,,8,,,,,,,,
3.2445443189999423,0.00819233738972495,0.1422363289942344,0.0,0.0,0.019465625,4.0,0.971875,-0.02444572257809341,0.6347651258111,-0.012143167783506215,0.00013043459208953814,8.100234238857713e-05,39847.884,1.0,36725.81875,7.82821759313622e-06,1874.7703331497532,2880.0,1.0,,9,,,,,,,,
3.258000178999737,0.008118324643874075,0.12039388056534032,0.0,0.0,0.01940625,4.0,0.96875,-0.021394374159475166,0.6174165681004524,-0.00948183781777819,0.00015105105012480635,0.0001081970124990524,41184.543999999994,1.0,37057.025375,7.82821759313622e-06,1924.9897654051586,2880.0,1.0,,10,41184.543999999994,41859.712,40772.496,70000042,39175.4055,best_of_k,41859.712,1266.2157888550237
3.1711077119998663,0.004800268541051385,0.06565755233168602,0.0,0.0,0.019346875,4.0,0.965625,-0.016799913874516886,0.5965511277318001,-0.0053138370082403226,0.00010744176082274255,8.915784565033391e-05,41343.008,1.0,38332.564375,7.82821759313622e-06,1632.8553813459293,2880.0,1.0,,11,,,,,,,,
3.1722631659999934,0.007732400405075168,0.09147135447710752,0.0,0.0,0.0192875,4.0,0.9625,-0.01672896828191976,0.5755383049448332,-0.005658413778292015,7.037944108863788e-05,4.620537083610543e-05,42288.87999999999,1.0,39325.873875000005,7.82821759313622e-06,1260.110763483903,2880.0,1.0,,12,,,,,,,,
