scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
17,test_017_id_concentrated,concentrated,26,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.7048695559997213
18,test_018_id_distributed,distributed,16,B_frozen_static_greedy,15457.13519011323,0.07569550200014419
18,test_018_id_distributed,distributed,16,D_frozen_static_best_of_64,15482.559459689459,1.4887569339998663
18,test_018_id_distributed,distributed,16,C_rich_generalist_e2e_best_of_64,15713.043280205515,0.928624242999831
19,test_019_id_no_shock,no_shock,9,B_frozen_static_greedy,15476.166500000003,0.10276371600002676
19,test_019_id_no_shock,no_shock,9,D_frozen_static_best_of_64,15485.254500000003,1.633527680000043
19,test_019_id_no_shock,no_shock,9,C_rich_generalist_e2e_best_of_64,15483.1185,1.1069365610001114
20,test_020_id_mixed,mixed,11,B_frozen_static_greedy,18472.162044972803,0.10971222000034686
20,test_020_id_mixed,mixed,11,D_frozen_static_best_of_64,18842.41716332093,1.6554926530002376
20,test_020_id_mixed,mixed,11,C_rich_generalist_e2e_best_of_64,19913.230854717513,1.0765298439996513
21,test_021_id_boost_only,boost_only,21,B_frozen_static_greedy,17884.159396480063,0.05511326099986036
21,test_021_id_boost_only,boost_only,21,D_frozen_static_best_of_64,17884.159396480063,1.4056862830002501
21,test_021_id_boost_only,boost_only,21,C_rich_generalist_e2e_best_of_64,18567.886000208346,0.8163584569997511
22,test_022_id_suppress_only,suppress_only,4,B_frozen_static_greedy,13569.712027443053,0.12852108400011275
22,test_022_id_suppress_only,suppress_only,4,D_frozen_static_best_of_64,13874.486347986476,1.7630449489997773
22,test_022_id_suppress_only,suppress_only,4,C_rich_generalist_e2e_best_of_64,13763.270721420677,1.1856103360000816
23,test_023_id_concentrated,concentrated,19,B_frozen_static_greedy,13808.40687791141,0.063818258000083
23,test_023_id_concentrated,concentrated,19,D_frozen_static_best_of_64,13808.40687791141,1.4642849839997325
23,test_023_id_concentrated,concentrated,19,C_rich_generalist_e2e_best_of_64,14281.076500000005,0.8523518199999671
24,test_024_id_distributed,distributed,14,B_frozen_static_greedy,19445.633195133887,0.08465846899980534
