scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
86,test_086_ood_extreme_single_boost,ood_extreme_single_boost,21,B_frozen_static_greedy,15476.166500000003,0.056536778999998205
86,test_086_ood_extreme_single_boost,ood_extreme_single_boost,21,D_frozen_static_best_of_64,15476.166500000003,1.412581379999665
86,test_086_ood_extreme_single_boost,ood_extreme_single_boost,21,C_rich_generalist_e2e_best_of_64,16562.194288676896,0.8118360349999421
87,test_087_ood_top_reward_collapse,ood_top_reward_collapse,22,B_frozen_static_greedy,10945.10585685277,0.051579999000296084
87,test_087_ood_top_reward_collapse,ood_top_reward_collapse,22,D_frozen_static_best_of_64,10945.10585685277,1.4175616369998352
87,test_087_ood_top_reward_collapse,ood_top_reward_collapse,22,C_rich_generalist_e2e_best_of_64,12200.528750000001,0.8634281080003348
88,test_088_ood_high_cost_boost,ood_high_cost_boost,25,B_frozen_static_greedy,21817.29280107694,0.03910532499958208
88,test_088_ood_high_cost_boost,ood_high_cost_boost,25,D_frozen_static_best_of_64,21817.29280107694,1.3095778669999163
88,test_088_ood_high_cost_boost,ood_high_cost_boost,25,C_rich_generalist_e2e_best_of_64,21684.344284215716,0.7367101949998869
89,test_089_ood_budget_reallocation,ood_budget_reallocation,15,B_frozen_static_greedy,15258.71761451387,0.08163814599993202
89,test_089_ood_budget_reallocation,ood_budget_reallocation,15,D_frozen_static_best_of_64,15457.394314067875,1.5751797930001885
89,test_089_ood_budget_reallocation,ood_budget_reallocation,15,C_rich_generalist_e2e_best_of_64,17083.985830059748,0.9867210200000045
90,test_090_ood_rank_flip,ood_rank_flip,9,B_frozen_static_greedy,9763.188353566427,0.10274825799979226
90,test_090_ood_rank_flip,ood_rank_flip,9,D_frozen_static_best_of_64,10013.469348368322,1.64621231000001
90,test_090_ood_rank_flip,ood_rank_flip,9,C_rich_generalist_e2e_best_of_64,17198.08405162411,1.1000387599997339
91,test_091_ood_extreme_single_boost,ood_extreme_single_boost,10,B_frozen_static_greedy,15476.166500000003,0.09688680799990834
91,test_091_ood_extreme_single_boost,ood_extreme_single_boost,10,D_frozen_static_best_of_64,15483.1185,1.6320237139998426
91,test_091_ood_extreme_single_boost,ood_extreme_single_boost,10,C_rich_generalist_e2e_best_of_64,15963.204477694377,1.0965873780000948
92,test_092_ood_top_reward_collapse,ood_top_reward_collapse,12,B_frozen_static_greedy,10685.518711245295,0.09203719400011323
92,test_092_ood_top_reward_collapse,ood_top_reward_collapse,12,D_frozen_static_best_of_64,10790.40129660386,1.566455562000101
92,test_092_ood_top_reward_collapse,ood_top_reward_collapse,12,C_rich_generalist_e2e_best_of_64,11846.555250000003,1.010379723999904
93,test_093_ood_high_cost_boost,ood_high_cost_boost,24,B_frozen_static_greedy,20626.038015091344,0.04231288100027086
93,test_093_ood_high_cost_boost,ood_high_cost_boost,24,D_frozen_static_best_of_64,20626.038015091344,1.3314660010000807
93,test_093_ood_high_cost_boost,ood_high_cost_boost,24,C_rich_generalist_e2e_best_of_64,19249.04623226145,0.7491803799998706
94,test_094_ood_budget_reallocation,ood_budget_reallocation,23,B_frozen_static_greedy,14649.017971122827,0.04781542000000627
94,test_094_ood_budget_reallocation,ood_budget_reallocation,23,D_frozen_static_best_of_64,14649.017971122827,1.4018811430000824
94,test_094_ood_budget_reallocation,ood_budget_reallocation,23,C_rich_generalist_e2e_best_of_64,16205.998585318,0.7612387460003447
95,test_095_ood_rank_flip,ood_rank_flip,13,B_frozen_static_greedy,12330.11911864499,0.08780058299998927
95,test_095_ood_rank_flip,ood_rank_flip,13,D_frozen_static_best_of_64,12399.60763935528,1.6049592419999499
95,test_095_ood_rank_flip,ood_rank_flip,13,C_rich_generalist_e2e_best_of_64,17359.56853423731,1.0093208989997038
96,test_096_ood_extreme_single_boost,ood_extreme_single_boost,10,B_frozen_static_greedy,15476.166500000003,0.10083858999996664
96,test_096_ood_extreme_single_boost,ood_extreme_single_boost,10,D_frozen_static_best_of_64,15483.1185,1.6169626589999098
96,test_096_ood_extreme_single_boost,ood_extreme_single_boost,10,C_rich_generalist_e2e_best_of_64,17021.2319111559,1.0724199760002193
97,test_097_ood_top_reward_collapse,ood_top_reward_collapse,14,B_frozen_static_greedy,10220.746730381814,0.08248603999982151
97,test_097_ood_top_reward_collapse,ood_top_reward_collapse,14,D_frozen_static_best_of_64,10362.660616190331,1.5534993080000277
97,test_097_ood_top_reward_collapse,ood_top_reward_collapse,14,C_rich_generalist_e2e_best_of_64,11768.833500000004,0.9643632289999005
98,test_098_ood_high_cost_boost,ood_high_cost_boost,12,B_frozen_static_greedy,18485.25435670248,0.10156381900014821
98,test_098_ood_high_cost_boost,ood_high_cost_boost,12,D_frozen_static_best_of_64,18668.38007537996,1.624180007999712
98,test_098_ood_high_cost_boost,ood_high_cost_boost,12,C_rich_generalist_e2e_best_of_64,18972.547396265432,1.0888311100002284
99,test_099_ood_budget_reallocation,ood_budget_reallocation,20,B_frozen_static_greedy,14516.227886149907,0.06513035900024988
99,test_099_ood_budget_reallocation,ood_budget_reallocation,20,D_frozen_static_best_of_64,14516.227886149907,1.4462650069999654
99,test_099_ood_budget_reallocation,ood_budget_reallocation,20,C_rich_generalist_e2e_best_of_64,16963.884901083034,0.9205307639999774
