method,comparison_group,prefix_source,objective,runtime_seconds,rollouts,proven_optimal,optimality_gap_percent,gap_to_group_oracle_percent,gap_to_two_stage_gurobi_percent,gap_to_clairvoyant_upper_bound_percent,information_pattern
B_frozen_attention_greedy,same_static_attention_prefix,static_attention,12261.328475000004,0.08679091099998004,1,NA,NA,NA,NA,NA,shock_unaware_frozen_policy
D_frozen_attention_residual_best_of_512,same_static_attention_prefix,static_attention,12380.716912500002,13.338884682999833,512,NA,NA,NA,NA,NA,shock_unaware_frozen_policy_postshock_search
C_context_static_prefix_best_of_512,same_static_attention_prefix,static_attention,14367.360500000003,8.188151593999919,512,NA,NA,NA,NA,NA,shock_context_visible_only_when_realized
C_e2e_anticipatory_greedy,end_to_end_online,method_c_anticipatory_no_future_shock_info,14024.6965625,0.07563271000003624,1,NA,NA,NA,NA,NA,anticipatory_learned_policy_no_future_shock_identity
C_e2e_anticipatory_postshock_best_of_512,end_to_end_online,method_c_anticipatory_no_future_shock_info,14358.6995,8.061575215999937,512,NA,NA,NA,NA,NA,anticipatory_prefix_no_future_info_then_postshock_adaptive_search
