method,objective,runtime_seconds,rollouts,online_training_seconds
B_frozen_static_greedy,12261.328475000004,0.08149085800005196,1,
D_frozen_static_best_of_512,12380.716912500002,12.236802363999914,512,
C_rich_generalist_static_prefix_best_of_512,14265.1975625,7.5301078500001495,512,
C_rich_generalist_e2e_greedy,13930.397562499998,0.06990508300009424,1,
C_rich_generalist_e2e_best_of_512,13951.956500000002,7.376509893000048,512,
R_static_init_shock_retrain_best_of_512,14410.0340625,7.339644939999971,512,140.26097407899988
R_scratch_shock_retrain_best_of_512,14382.804499999998,7.384687873999837,512,139.60354373199993
