method,label,updates,best_update,time_s,best_training,selected_validation,final_entropy,mean_kl,stop_reason,best_validation_individual
stable_mlp,Stable MLP,380,260,3455.024000422999,679810.12975,678848.47375,0.1630777564520637,0.0027994478343891004,early_stopping_after_6_validation_checks,
attention,Attention,400,380,5290.162128992,678607.1725,677897.3257500001,0.07891481307645638,0.007789236634720661,maximum_updates_reached,
hierarchical,Hierarchical,400,340,5321.879708938999,675449.7335000001,674977.242,0.08965281831721465,0.00732272716475735,maximum_updates_reached,
hacipp,HACIPP,220,80,2928.3095711729984,674856.8010000001,674215.263,0.22670542417714992,0.009557452953482856,early_stopping_after_6_validation_checks,
hacipp_rl_improve,HACIPP + RL Improve,130,10,2106.4003723700007,676361.62675,672574.8078749999,,0.00018863790263067196,early_stopping_after_8_validation_checks,673894.6447499999
